CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
645,000000000000001010000101,117.50,SI,21
646,000000000000001010000110,112.50,SI,21
647,000000000000001010000111,108.50,SI,20
648,000000000000001010001000,120.00,SI,22
649,000000000000001010001001,117.50,SI,21
650,000000000000001010001010,120.00,SI,21
651,000000000000001010001011,112.50,SI,20
652,000000000000001010001100,112.50,SI,21
653,000000000000001010001101,110.00,SI,20
654,000000000000001010001110,112.50,SI,20
655,000000000000001010001111,103.50,SI,19
656,000000000000001010010000,120.00,SI,22
657,000000000000001010010001,117.50,SI,21
658,000000000000001010010010,120.00,SI,21
659,000000000000001010010011,112.50,SI,20
660,000000000000001010010100,120.00,SI,21
661,000000000000001010010101,117.50,SI,20
662,000000000000001010010110,112.50,SI,20
663,000000000000001010010111,108.50,SI,19
664,000000000000001010011000,112.50,SI,21
665,000000000000001010011001,110.00,SI,20
666,000000000000001010011010,112.50,SI,20
667,000000000000001010011011,105.00,SI,19
668,000000000000001010011100,112.50,SI,20
669,000000000000001010011101,110.00,SI,19
670,000000000000001010011110,103.50,SI,19
671,000000000000001010011111,98.50,SI,18
672,000000000000001010100000,120.00,SI,22
673,000000000000001010100001,117.50,SI,21
674,000000000000001010100010,120.00,SI,21
675,000000000000001010100011,112.50,SI,20
676,000000000000001010100100,120.00,SI,21
677,000000000000001010100101,117.50,SI,20
678,000000000000001010100110,112.50,SI,20
679,000000000000001010100111,108.50,SI,19
680,000000000000001010101000,120.00,SI,21
681,000000000000001010101001,117.50,SI,20
682,000000000000001010101010,120.00,SI,20
683,000000000000001010101011,112.50,SI,19
684,000000000000001010101100,112.50,SI,20
685,000000000000001010101101,110.00,SI,19
686,000000000000001010101110,112.50,SI,19
687,000000000000001010101111,103.50,SI,18
688,000000000000001010110000,112.50,SI,21
